NAME	DESCRIPTION	A54933	A54934	A54935	A54936	A54937	A54938
HIST1H1E	na	1.1651	1.4685	1.6948	1.9628	1.5339	1.9324
RGS14	na	12.5275	15.3083	13.3141	10.32	8.2943	11.1871
SERPINB6	na	0.0242	0.0448	0.0357	0.1165	0.1038	0.1646
TAF9	na	75.7449	85.4182	78.6407	73.5897	66.1708	69.483
TMEM171	na	2.6511	3.1941	2.0361	3.8364	3.3941	4.3206
HIST1H1D	na	0.3869	0.4338	0.4326	0.4428	0.4786	0.6058
GPR141	na	16.6431	15.3835	15.2748	10.7662	9.5122	9.4558
SIRT5	na	8.0698	6.9332	8.0362	7.0173	8.0029	6.8695
DSP	na	0.1065	0.0855	0.1374	0.0964	0.1533	0.0687
ZKSCAN4	na	0.133	0.0935	0.1102	0.0737	0.0821	0.1007
SUGCT	na	0.6068	0.3077	0.5412	0.4652	0.7063	0.6271
PGBD1	na	0.3515	0.3261	0.3471	0.2053	0.3801	0.3618
ZNF845	na	0.4516	0.2422	0.5947	0.5607	0.4822	0.6071
ZNF845	na	0.1933	0.1533	0.173	0.0974	0.1587	0.2142
NFIL3	na	30.893	36.5087	30.7772	35.6026	47.2002	43.9779
ERO1B	na	4.3713	4.4722	4.3196	3.8018	4.2149	3.719
ZNF845	na	1.0107	0.8877	1.247	1.0479	1.5857	1.1975
DTNBP1	na	112.9989	109.9605	110.1519	106.8656	92.8261	101.9471
LGALS8	na	12.6318	13.6038	13.2331	18.125	21.0069	19.2281
BRD9	na	19.8878	21.9429	19.295	17.4479	14.5032	16.0049
PLP2	na	27.8423	27.5042	28.4456	25.3583	25.6517	25.1458
ZNF727	na	0.8332	0.928	1.0928	0.9815	1.0508	0.9662
ZNF845	na	2.4664	1.9675	2.7099	2.5862	3.1807	2.7572
ZNF114	na	0.4379	0.2283	0.7006	0.4037	0.6421	0.5165
IDI1	na	3.9899	3.1681	4.3642	5.8315	6.0155	5.7598
ZNF429	na	1.5793	0.9798	1.7553	1.4062	2.2467	1.6726
HIST1H2BC	na	0.9034	1.2981	1.5987	1.1318	1.2944	1.2949
TMED9	na	258.8684	273.5845	255.2478	240.5193	227.7156	240.4346
TUBB2A	na	8.6002	8.8408	10.634	15.6221	15.9268	16.414
HIST1H1B	na	0.5918	1.4117	1.0276	1.3874	1.248	1.0669
ZNF429	na	0.9398	0.6681	0.818	0.9634	1.0053	0.8925
ZNF429	na	3.326	2.6092	3.7226	3.37	4.3701	3.5327
CDYL	na	5.2438	4.7653	5.0341	5.1347	4.9953	5.2171
NKAPL	na	0.2521	0.1452	0.1554	0.2228	0.1984	0.2448
ZNF429	na	1.9031	1.3611	2.3456	1.9834	2.3736	2.0524
HIST1H4I	na	0.15	0.4452	0.5166	0.4792	0.5446	0.4395
SERPINB6	na	5.8334	5.1251	6.44	13.3699	13.6874	15.5187
NSA2	na	34.6243	24.9482	29.013	34.9296	39.1212	32.8125
HIST2H4A	na	1.4118	1.257	2.3962	1.4858	0.8425	1.7116
MRPS36	na	6.3629	5.0314	4.4603	5.88	5.8358	6.3231
CKS2	na	38.2558	35.7038	35.6965	28.9666	30.2541	28.7743
FTL	na	178.6993	186.1135	167.41	227.0006	228.7854	249.4152
HIST1H2BK	na	1.7888	1.6819	1.369	1.7497	1.0096	1.6473
C5orf34	na	22.0559	23.974	24.4924	23.179	22.8414	22.4536
NOL7	na	57.6627	57.1243	57.5154	51.8198	49.5211	50.5367
ZKSCAN8	na	2.0799	1.7967	2.2126	1.8276	2.089	2.0182
FAM172A	na	9.4589	9.0329	9.3857	9.3571	9.6994	9.6591
MIR7-1	na	1.6988	2.5426	2.5913	2.3752	1.7332	2.0694
MIR27B	na	1.7546	1.9584	1.4264	1.5783	1.5412	2.0838
MIR23B	na	1.0063	1.5819	2.0399	0.8856	0.8814	0.5718
S1PR3	na	3.7841	3.9723	3.3767	2.8323	3.5161	2.5816
NDUFAF2	na	19.6297	21.6652	17.8866	19.043	14.1644	17.6853
CDK7	na	5.4396	6.1157	5.7127	5.7763	5.5284	5.6068
ZNF429	na	0.9069	0.6734	0.7257	0.8581	0.8748	0.7999
ZNF429	na	1.3589	1.0229	1.3134	1.52	1.8102	1.4413
FAM8A1	na	3.4526	3.4904	3.9653	4.0961	4.2515	4.2437
DUSP22	na	2.2849	3.3797	2.1869	3.0795	2.9347	3.6223
HIST1H2BL	na	0.2868	0.5091	0.1008	0.3487	0.548	0.5996
HIST1H2AE	na	0.1625	0.1657	0.1132	0.1365	0.2585	0.1179
HIST1H2BL	na	4.3527	5.4135	3.4963	3.9551	2.4889	4.5026
HIST1H2AE	na	0.1757	0.3682	0.0808	0.436	0.1139	0.0256
FBP1	na	6.0472	4.6212	5.2982	3.3585	3.3938	3.1251
SMIM15	na	17.3487	15.5386	17.1771	19.4166	19.4214	19.597
KRBOX1	na	2.9854	2.6596	3.2599	3.2304	3.9242	3.2381
ZNF429	na	1.8916	1.6327	2.1699	1.8139	2.1188	2.1683
PSMG4	na	47.5644	50.297	44.9336	47.0109	42.0801	48.0523
TMEM267	na	0.3657	0.3122	0.2685	0.3025	0.2431	0.2265
ARRDC3	na	3.0466	2.8019	3.2328	5.382	11.1403	7.0984
ZNF429	na	0.4906	0.373	0.5667	0.4375	0.6416	0.4652
RAMAC	na	0.2881	0.2338	0.3436	0.2066	0.1778	0.2289
GRK6	na	72.1097	76.3739	75.861	63.2588	60.1838	63.5113
HIST1H2BB	na	2.0777	1.9202	1.5057	1.0176	0.7524	1.2964
YAE1	na	1.8062	1.9165	2.014	2.0791	2.0576	2.0678
SOX4	na	14.9755	11.9972	14.0548	14.9551	21.2211	14.9653
TRGC1	na	10.7293	11.3628	10.1488	4.2215	3.959	4.2053
SNORA68	na	0.0216	0.6714	0.8716	0.144	0	0.1002
ISCA1	na	1.6591	1.3087	1.6664	1.9069	2.1593	1.7718
TAF9	na	57.848	63.7046	55.7342	53.4441	41.5804	51.7163
ZNF429	na	3.3519	2.5797	3.0026	3.2871	4.3532	3.6988
ZNF429	na	0.8306	0.9125	1.1842	1.0515	1.3725	1.2019
SERPINB1	na	0.2974	0.4329	0.2712	0.2178	0.3157	0.263
COX5B	na	68.1621	80.3737	64.0573	58.0881	49.3315	65.424
TMEM170B	na	4.0225	4.1802	4.2908	3.8378	4.406	4.3982
SNORA47	na	1.3185	0.7009	0.1198	0.726	0	0.5153
SCARNA18	na	0.9266	0.3433	0.3207	1.2667	0.3064	0.599
ZNF845	na	0.5078	0.4081	0.4204	0.5343	0.7029	0.4387
ZNF429	na	0.5557	0.5818	0.7375	0.4696	0.7204	0.5343
SMIM13	na	7.5564	7.2883	7.4451	7.7677	7.0309	7.5359
GCNT4	na	0.5441	0.3968	0.5095	0.6421	0.8062	0.6817
SEC61B	na	19.7943	20.3614	17.6565	17.3044	12.8728	15.881
HMGCS1	na	54.0311	51.0919	59.3993	56.3601	54.2107	52.0444
HIST1H2BL	na	0.9591	1.1935	0.9948	0.8721	0.4753	0.8614
SNORA32	na	0.0504	0.1478	0	0.1494	0	0.2308
HIST1H2BL	na	1.0742	0.9818	0.8816	1.0894	1.0513	0.7145
ZNF845	na	2.2963	1.7954	2.0599	2.1746	2.6103	2.2157
NIM1K	na	0.377	0.342	0.289	0.1722	0.2215	0.2374
ZNF429	na	4.7779	4.6643	5.5493	4.7402	5.8402	5.2123
ZNF114	na	1.7491	1.9048	2.5014	2.2066	3.0202	2.8025
RNF17	na	0.2184	0.1901	0.1796	0.2545	0.1929	0.1715
POLR3D	na	9.5497	10.9531	9.1386	10.0895	7.6615	9.1395
MMP14	na	6.4861	6.1517	6.4856	17.0184	15.5026	19.8059
SLC7A7	na	7.9116	7.3559	7.2032	8.7927	9.6183	9.7627
OXA1L	na	61.6307	53.175	54.413	57.4628	61.9946	54.9896
IPO4	na	16.914	17.6303	16.9282	15.8136	13.4179	14.1825
TM9SF1	na	20.456	21.8607	22.0849	19.5504	18.5228	19.8838
REC8	na	4.5971	3.277	6.1927	3.2742	4.2527	4.2088
IRF9	na	8.094	7.9941	9.1612	12.2694	13.5388	13.2929
GMPR2	na	38.9012	41.2399	38.2746	41.6725	39.9198	41.097
DHRS1	na	29.0042	25.0809	27.2838	34.7622	36.2827	37.9674
NDRG2	na	19.8637	13.7515	20.8274	18.5757	24.2061	20.1125
METTL17	na	6.3407	8.4373	7.2535	6.265	5.6381	5.7549
ARHGEF40	na	2.4508	2.2626	2.6283	3.7414	4.9693	4.1754
KLF5	na	0.9567	0.7377	1.1015	0.3424	0.475	0.3915
TEP1	na	4.9637	5.7931	5.332	7.5247	8.1638	8.0636
TTC5	na	20.1646	18.9702	21.0221	20.374	21.1756	18.6568
OSGEP	na	17.7564	17.6553	15.9227	14.2541	13.3347	13.3599
STIMATE	na	6.8698	7.2524	6.3836	8.1061	8.0741	8.788
SFMBT1	na	1.7058	1.9607	2.0088	1.8045	1.7274	1.7653
TINF2	na	19.0702	19.9518	18.7781	17.8429	16.3903	17.2819
TSSK4	na	0.4539	0.4257	0.5418	0.3128	0.588	0.5417
ZMIZ1	na	15.5952	15.3378	14.7846	15.4057	17.8256	15.3102
FZD3	na	0.4173	0.6014	0.4652	0.3276	0.349	0.3246
NEDD8	na	217.5299	247.98	212.4156	205.4145	178.4113	202.3696
MRPL52	na	68.122	75.0657	70.2479	87.0781	78.7483	92.5749
RPL15	na	21.3284	21.151	21.3513	20.6641	18.9455	20.8269
TIMM23	na	5.7774	5.5161	4.981	5.5479	4.6363	4.8564
ANKRD28	na	37.0025	41.5498	40.0912	26.4521	29.982	24.3262
WDFY2	na	8.6933	7.9009	8.3882	15.9712	17.957	16.3128
GZMB	na	22.3789	19.2689	45.6965	28.6026	28.9119	39.9923
CNIH1	na	81.9781	76.6997	82.7998	86.0875	77.1192	83.6543
GNRH1	na	0.8033	1.6681	0.8329	0.5806	1.3547	0.9114
CACNA1D	na	0.1218	0.1447	0.1538	0.1228	0.1908	0.1188
CHDH	na	1.5301	1.4091	1.3489	0.3058	0.4142	0.3058
ACTR8	na	16.7034	16.5126	15.3873	15.9472	16.2514	14.5617
TOX4	na	13.6726	13.721	13.7852	14.6092	15.668	14.5609
TOP2B	na	15.6844	14.916	17.3624	17.9307	19.5915	17.6114
DNAH1	na	0.1053	0.0602	0.1395	0.0776	0.108	0.06
NOP9	na	30.9753	32.1145	29.8405	28.4484	26.3878	27.8828
FDFT1	na	40.3282	36.0109	42.844	44.5611	41.094	40.0996
SLC4A7	na	4.6502	4.1978	4.9667	5.855	6.7517	6.061
PSMD6	na	36.9624	43.4875	39.1347	37.5483	30.1095	34.7855
ATXN7	na	4.5106	5.0481	5.2838	4.2411	4.5319	4.4499
PDHB	na	52.7854	55.9501	53.0958	48.6381	44.4279	46.6413
KCTD6	na	1.3116	1.6169	1.2279	1.6765	1.7091	1.5111
KAT6B	na	1.4203	1.4227	1.3918	1.3414	1.5717	1.3616
SAMD8	na	1.5016	1.6557	1.5893	1.8318	1.6859	1.8339
VDAC2	na	44.7516	49.3416	46.9192	43.556	39.6726	43.0719
NKIRAS1	na	1.2084	1.3671	1.4617	1.5668	1.4368	1.5047
COMTD1	na	15.7106	18.1816	13.773	13.107	10.0445	12.2264
UBE2E1	na	18.5961	17.4801	18.7893	18.1484	17.6397	19.8232
NR1D2	na	1.6132	1.6158	1.7442	2.4025	2.5493	2.4412
NGLY1	na	4.8753	4.7703	4.9171	4.4555	5.1193	4.7342
OXSM	na	4.5877	4.7329	5.0812	4.9833	5.543	5.025
PRXL2A	na	7.0188	6.3067	7.7779	7.6251	7.1091	7.175
GLUD2	na	58.6537	56.2463	58.2676	59.8114	64.1758	61.4555
BMPR1A	na	1.0736	1.0535	1.3059	1.2472	1.6157	1.5881
NID2	na	0.262	0.2372	0.2062	0.4015	0.3514	0.3461
RTRAF	na	67.5524	64.2002	68.0391	72.0801	79.4809	73.3621
NUDT13	na	5.8007	6.0848	5.7123	5.8562	6.6549	5.796
ECD	na	27.1969	28.5774	26.3231	25.363	22.7278	23.4364
DNAJC9	na	51.4021	53.7065	51.502	45.067	43.6583	43.8608
ANXA7	na	49.0838	46.7966	50.5338	50.5001	56.7762	52.6164
MSS51	na	0.4307	0.7859	0.3621	0.4593	0.5669	0.4797
PPP3CB	na	11.8886	11.1523	12.2826	12.3463	12.5478	12.6853
ZSWIM8	na	14.1418	16.0503	15.0426	14.7775	13.0894	13.812
CAMK2G	na	14.5709	15.0643	15.1832	14.7718	16.6478	14.3187
PLAU	na	2.2056	2.6816	2.1119	1.5539	0.9383	1.4644
VCL	na	20.8465	19.3513	30.1326	21.012	22.3629	20.1535
AP3M1	na	8.0165	8.2745	8.6157	8.8102	8.9624	9.6754
TXNDC16	na	1.1469	1.2144	1.1218	1.4696	1.764	1.6073
ERO1A	na	85.4772	75.2962	85.3299	122.9125	194.2355	148.8256
PSMC6	na	59.8584	63.6015	62.0231	60.6143	59.9085	60.3758
MAPK1IP1L	na	11.5232	13.1019	12.2337	13.878	13.7488	13.7832
KTN1	na	9.4289	9.3783	10.263	10.9437	12.3859	10.0772
PELI2	na	8.0255	6.6634	6.897	6.1307	7.4601	5.9204
ANXA11	na	16.4906	15.4728	18.0724	15.5294	17.6757	16.1767
PPIF	na	40.6561	37.6806	50.4096	42.1294	39.4422	37.8316
SLMAP	na	7.5209	7.114	8.6606	8.3901	8.8378	8.1155
PNP	na	72.4984	72.5467	67.2975	71.0866	69.7555	76.2381
RNASE10	na	0.5853	0.7034	0.7922	0.3033	0.2697	0.4333
RNASE4	na	11.5398	11.4211	9.9606	17.7552	19.5878	22.1233
ARF4	na	51.4964	45.1271	53.1351	63.076	70.111	67.7881
RNASE6	na	3.6774	4.5384	4.3595	5.4717	5.7877	6.7061
HACL1	na	6.589	5.4507	6.6498	5.574	6.9682	5.7548
EAF1	na	23.9932	25.5451	23.9332	21.7643	26.3537	22.5548
METTL6	na	32.7992	35.0397	30.8777	24.8073	26.6915	23.9327
SH3BP5	na	6.8994	6.7637	6.021	22.0921	18.0126	22.0965
CAPN7	na	9.5644	10.2188	10.7995	11.1082	11.678	11.4312
ARHGEF3	na	10.0587	8.0737	10.8281	14.6984	15.5563	13.8287
BTD	na	18.0333	17.9146	18.1168	17.8767	18.0259	18.5315
BAP1	na	33.8918	36.0209	34.5219	32.583	31.5344	30.8079
PHF7	na	11.7694	13.2384	12.8701	9.996	10.3552	9.7143
DPH3	na	9.0089	10.6132	9.669	8.7165	6.8733	8.2086
OXNAD1	na	3.8949	4.111	3.8256	3.6184	3.0419	3.0612
NISCH	na	36.2412	39.5223	37.6531	36.8949	38.0299	37.2573
PARG	na	5.3037	5.5399	5.6294	5.8188	5.8771	5.3684
GLT8D1	na	14.0124	14.4075	15.5337	15.6654	15.4251	14.1948
SPCS1	na	56.0336	60.0579	57.5171	56.1064	53.3124	57.045
NEK4	na	4.6374	4.8565	4.9529	4.7421	5.3538	5.0602
EBPL	na	11.7961	10.4878	11.5131	11.8708	12.7541	12.5012
KPNA3	na	18.574	18.3253	19.7214	22.7479	24.8905	22.1155
SPRYD7	na	5.4269	5.4044	5.6843	5.6685	5.8396	5.9697
RNASEH2B	na	5.3242	6.2379	5.4862	4.9195	4.0487	4.6757
MAPK8	na	2.4771	2.7757	2.5921	2.8178	3.0277	3.0415
PSPC1	na	12.6931	11.9942	12.9648	13.2777	10.8671	11.3427
CTSB	na	172.4869	181.4507	170.4076	257.9346	259.8831	288.9056
ZMYM2	na	6.8165	6.9039	7.6226	8.3276	9.7314	8.5346
CRYL1	na	17.5544	17.215	16.0714	17.8942	16.4461	17.625
PRKCD	na	47.1057	48.3024	48.1178	64.5313	61.5397	65.4106
EEF1AKMT1	na	21.7736	26.4062	21.0575	24.6938	19.8123	23.8543
XPO4	na	2.2414	2.6669	2.5869	2.759	2.8193	2.4683
TKT	na	256.0851	248.5396	233.3392	214.0854	204.7121	210.3701
PINX1	na	8.564	11.8472	8.4859	9.3354	6.8703	7.9356
LATS2	na	2.8136	2.8869	2.4742	3.0509	3.227	3.1852
DCP1A	na	8.0396	8.6625	8.1485	8.3427	8.1516	7.6564
SAP18	na	5.407	5.5175	5.6519	4.6023	3.8707	3.7747
SKA3	na	9.3271	10.6683	9.1695	7.7585	7.2318	7.2004
MRPL57	na	27.3429	28.0158	27.8684	26.4171	23.0077	26.5686
ZDHHC20	na	13.6671	13.1391	13.6847	15.8084	15.8849	15.623
HMBOX1	na	4.2123	4.2364	4.2857	4.1052	4.424	3.9251
MICU2	na	34.0919	35.0523	37.3441	38.9123	39.2212	37.4966
INTS9	na	30.6173	28.2061	28.3303	29.3903	31.4416	29.4637
EXTL3	na	7.2567	6.9046	7.5641	9.4679	10.8504	10.3421
CAB39L	na	17.1996	15.043	17.8879	17.8246	21.0705	16.9762
CDADC1	na	11.5101	13.9473	11.8708	12.0636	9.3361	10.4813
ATP8A2	na	0.2146	0.2135	0.2367	0.0643	0.0899	0.0634
MTMR6	na	13.0418	13.5801	14.3809	15.941	18.2546	16.1094
MIPEP	na	11.1366	11.5763	10.5875	10.2058	10.4909	9.8495
ESD	na	60.4864	59.9676	66.4315	64.8811	70.6707	68.1118
LRRC63	na	0.1051	0.0297	0.1558	0.1074	0.1022	0.1401
LCP1	na	130.3367	130.3987	125.5423	157.1347	155.1252	149.9747
ZC3H13	na	10.0394	11.3129	11.1149	9.7494	8.786	8.7175
SLC25A30	na	6.3079	5.9425	5.8618	6.2504	8.9024	7.2922
NUFIP1	na	8.4572	9.3085	8.0466	9.0244	8.2045	7.9383
TSC22D1	na	6.3892	5.9145	7.8451	5.8456	6.7938	5.7175
DNAJC15	na	48.8256	61.4113	51.2182	57.7984	50.5347	59.5456
EPSTI1	na	7.7686	6.9314	7.7254	16.2133	20.4324	18.1498
AKAP11	na	3.2568	3.3307	3.4486	3.6311	3.39	3.2955
RGCC	na	72.3053	76.6173	62.2707	29.8021	28.2406	31.3412
TDRD3	na	3.4682	3.7874	3.5478	3.0646	2.9583	2.9358
NAA16	na	2.8181	3.5573	3.2002	3.3612	2.7597	3.1153
DIAPH3	na	6.7702	6.0086	7.2414	6.8874	7.3214	6.4222
MTRF1	na	6.685	6.3925	5.9309	5.5039	5.8124	5.6778
WBP4	na	7.9008	8.4265	7.1503	7.9357	7.5886	8.2746
SUGT1	na	32.1563	31.4779	32.6756	38.2769	40.346	38.5958
OLFM4	na	0.933	0.3998	0.3589	0.1949	0.2445	0.2172
ELP3	na	32.4494	31.4957	31.5908	30.2284	32.6498	28.3751
PBK	na	30.4305	33.251	30.9146	29.5311	26.0569	26.0061
ESCO2	na	4.0878	4.8372	4.3015	3.6882	3.3584	3.3477
CCDC25	na	11.3591	12.8298	12.7342	12.5042	11.3956	11.8754
CLU	na	38.1869	28.0436	61.8266	23.8481	29.1944	25.1666
EPHX2	na	0.132	0.1365	0.0975	0.4336	0.8198	0.7433
TRIM35	na	33.1217	30.2039	33.4106	36.4798	31.0353	30.8994
DPYSL2	na	3.2689	3.9743	3.9627	5.4102	6.0323	6.3807
BNIP3L	na	24.5658	22.8775	26.3742	24.0989	28.305	26.1375
PPP2R2A	na	15.856	17.41	17.2759	19.4133	18.1078	18.6256
PIBF1	na	3.0882	3.0256	2.6751	3.4123	3.5788	3.2846
ENTPD4	na	0.1259	0.0889	0.0917	0.0864	0.1245	0.1355
BORA	na	21.5113	22.3687	22.0575	19.0548	17.7796	17.758
RHOBTB2	na	6.3254	6.9977	6.6114	5.4998	6.2774	5.5493
BIN3	na	51.5906	50.6933	51.1797	64.5232	64.6861	68.7641
PDLIM2	na	7.2725	6.6505	7.3909	7.4132	7.9155	7.7136
SORBS3	na	5.4365	4.1294	5.6307	4.3552	5.6887	4.6739
PPP3CC	na	1.7739	1.826	1.7219	2.2382	2.3944	2.2847
SLC39A14	na	1.7031	2.0083	1.6366	1.9989	1.6467	1.9092
FAM160B2	na	9.047	10.2815	9.1395	8.4796	7.5454	8.3066
BMP1	na	0.5231	0.562	0.4484	0.5218	0.3993	0.4485
XPO7	na	5.2357	5.4225	5.4105	5.9776	6.3265	5.2481
DOK2	na	16.3065	17.059	19.6245	15.6131	13.0565	15.1933
RB1	na	8.5399	7.1995	10.5933	9.5354	12.2457	10.5742
RCBTB2	na	8.2449	8.6854	7.7602	10.4413	12.8498	11.4894
ITM2B	na	1022.1237	831.1944	960.2733	1061.4196	1218.6332	1193.6173
MED4	na	31.3988	37.0512	31.8914	30.8297	27.8943	27.7724
SUCLA2	na	15.8056	15.6181	16.4252	17.4703	16.996	15.9234
UCHL3	na	36.6302	43.2949	37.4204	41.0414	31.9943	38.2097
SPRY2	na	4.6998	5.4411	4.3753	4.3856	5.7037	5.561
RBM26	na	7.7195	7.3309	8.1766	7.7675	7.8444	7.7341
RNF219	na	6.2487	6.5301	6.2499	7.444	7.4298	6.436
EDNRB	na	2.4886	3.7345	2.8989	4.2385	3.099	5.0829
SCEL	na	0.308	0.555	0.2867	0.3571	0.4306	0.4497
FBXL3	na	5.9401	6.394	6.5003	6.5379	6.1698	6.4354
ACOD1	na	6.2279	8.0641	5.1095	26.0806	7.8632	19.6342
TGDS	na	9.2137	9.4751	9.4259	9.4468	9.7466	9.3868
GPR180	na	8.1325	8.9304	7.3692	7.647	7.6391	7.6954
DNAJC3	na	17.7816	19.2024	18.7597	17.9149	18.6252	17.5319
MBNL2	na	15.4379	12.4601	17.0343	16.8566	20.0094	18.3414
RAB2B	na	2.715	2.8959	2.9944	3.6195	3.8078	3.5292
METTL3	na	7.1396	8.7468	7.5793	6.6853	5.6236	6.0145
DAD1	na	52.5288	56.7182	50.356	47.4591	40.2836	47.868
LRP10	na	69.744	70.0809	67.3629	70.4351	74.9092	75.9405
REM2	na	1.1092	0.9454	1.0136	0.7981	0.9936	0.8637
AJUBA	na	1.999	1.8196	1.9626	2.2345	2.579	2.4026
C14orf93	na	4.585	3.6896	3.9164	3.8799	4.4806	3.4236
SLC7A8	na	26.8704	25.0054	30.692	33.2975	31.1645	34.9104
ACIN1	na	31.8391	34.8981	32.976	30.0791	24.727	27.1319
PSMB5	na	177.9898	190.2447	167.3033	150.1668	125.3027	156.1903
PABPN1	na	40.3696	53.3606	45.6089	40.2777	32.5786	37.7728
SLC22A17	na	1.1276	1.1186	1.5668	1.3447	1.5182	1.2088
NGDN	na	54.0607	58.0169	51.7374	44.8295	38.3201	45.2076
DHRS2	na	0.1325	0.0393	0	0.1046	0.1265	0.0301
DHRS4L2	na	23.485	28.3434	20.8403	20.6033	16.6289	19.8221
DCAF11	na	9.9051	10.2975	11.0796	9.4818	10.2928	9.5444
FITM1	na	0.2774	0.1672	0.3753	0.0304	0.1324	0.2888
PSME1	na	77.7078	77.6227	79.3982	76.9734	73.5291	78.0779
EMC9	na	4.0727	3.457	4.3619	4.0869	4.8482	4.9138
TGM1	na	7.6587	6.9927	6.9779	8.4587	12.4263	10.1688
CIDEB	na	1.3915	1.2913	1.7883	0.8881	1.0146	1.077
ADCY4	na	0.2657	0.2494	0.2135	0.1561	0.1366	0.1581
RIPK3	na	74.8638	82.6991	72.3752	68.1584	62.2123	64.4776
SDR39U1	na	32.8187	33.334	29.7868	28.098	24.522	26.6151
CMA1	na	13.2592	7.1418	23.0873	4.7853	3.8492	6.1114
PRMT5	na	39.1501	41.0264	35.7437	34.1625	28.3682	28.6926
RPP14	na	17.2178	20.3828	16.502	16.6045	14.267	15.1794
KCNK5	na	4.142	4.7699	4.8509	4.9483	5.3315	4.7103
ABHD6	na	2.1333	2.0348	1.8537	2.3264	2.2607	1.9656
FLNB	na	54.8765	50.4415	56.5855	49.3121	57.4192	46.9802
POLR3A	na	8.9709	9.712	9.6105	8.4704	8.5694	8.0592
RPS24	na	748.6161	777.7647	800.5618	678.3184	694.1242	703.0136
TM9SF2	na	32.4695	32.6007	34.6585	37.4669	39.6423	36.75
CLYBL	na	31.5083	28.3022	29.007	37.0077	42.7261	35.1995
FARP1	na	0.1368	0.206	0.1167	0.1654	0.2961	0.2748
DOCK9	na	1.9139	1.8474	1.882	1.7926	1.8637	1.6141
IPO5	na	59.7613	61.4408	56.6884	60.7706	57.4196	55.4813
ABCC4	na	15.7229	15.3322	15.9901	16.0542	15.0164	15.3181
MYCBP2	na	5.1418	5.0745	5.3226	5.1102	5.1845	4.7426
LMO7	na	0.2234	0.1822	0.2149	0.0976	0.1558	0.1257
TBC1D4	na	1.6066	1.7556	1.7389	1.9182	1.916	1.6888
C3orf14	na	6.6759	6.3685	7.3271	7.9176	7.745	7.3468
DIS3	na	11.4334	13.6898	12.1115	11.9045	8.3175	9.2728
MZT1	na	20.4352	17.6521	22.2961	22.7315	22.1087	22.3475
NUDT15	na	0.3184	0.4851	0.4974	0.349	0.3922	0.4413
LPAR6	na	16.9151	18.5862	17.6733	13.116	18.744	15.1048
FNDC3A	na	12.3701	12.597	13.2128	16.2033	22.5603	17.964
REEP4	na	60.8121	64.7562	59.889	56.5883	52.2718	55.1194
PIWIL2	na	0.5177	0.7346	0.496	0.7468	0.6773	0.9367
CCAR2	na	23.5384	24.8441	23.6756	22.3728	19.9646	20.2692
EGR3	na	0.3678	0.5048	0.2806	0.5927	0.2951	0.2268
PXK	na	23.3787	22.389	22.538	25.3255	26.2679	26.1923
CHMP7	na	22.5953	23.1447	22.5172	21.6609	21.7183	20.0439
R3HCC1	na	15.4316	15.6708	14.345	12.6849	12.6298	12.1867
USP54	na	2.3236	1.9304	2.538	2.0211	2.3243	2.1151
SLC25A37	na	25.3935	29.1254	26.2701	20.6896	21.7727	19.4095
KCTD9	na	5.6208	5.6957	6.2951	6.0683	5.8485	5.5752
ZNF395	na	16.9957	15.0053	15.3546	15.4867	23.6369	17.2375
FBXO16	na	0.6846	0.8579	1.056	0.3915	0.418	0.7213
DGKH	na	0.4298	0.5266	0.4224	1.0746	0.9201	1.0271
CCDC122	na	3.7475	2.3668	3.405	4.2616	5.9369	5.0836
COG3	na	8.9263	9.5596	9.7783	9.4239	9.5523	8.9045
RUBCNL	na	3.3832	2.969	2.683	3.2276	4.205	3.2423
HTR2A	na	1.5967	1.3515	1.8702	1.5455	1.9436	1.6593
XKR6	na	0.2276	0.2719	0.3507	0.3148	0.221	0.2886
MTMR9	na	13.6512	13.9974	14.4103	15.2548	17.5842	15.0363
FAM167A	na	0.1258	0.1079	0.1663	0.0827	0.0826	0.0476
NEIL2	na	0.335	0.5189	0.501	0.488	0.7353	0.7017
INTS6	na	4.2615	4.3469	5.1265	5.3492	5.4906	5.1502
TRIM13	na	5.642	5.6835	5.3975	7.923	7.7398	8.0072
RCBTB1	na	1.2764	1.5852	1.3899	1.5702	1.3333	1.4642
SUPT16H	na	24.8515	27.0219	26.1687	26.0645	24.8292	24.0036
PIP4P1	na	19.2423	22.9651	20.321	20.2591	19.3923	20.3387
APEX1	na	92.2	109.2856	88.4992	86.1597	60.3329	73.164
PARP2	na	35.0164	39.2816	34.1346	33.9861	31.1628	30.1061
NAA30	na	2.3421	2.3662	2.6685	2.7746	2.4654	2.8806
AP5M1	na	6.0465	5.4589	6.5458	6.2661	8.0258	7.0122
TMEM260	na	3.4032	3.0083	3.3407	3.7206	4.5489	3.6769
ELF1	na	27.4455	24.9507	30.1391	29.0617	36.6984	27.6019
ATG14	na	4.8923	4.7757	4.7121	4.5134	5.1353	4.1962
FBXO34	na	9.2186	9.1075	8.5946	9.0571	9.097	9.0633
DLGAP5	na	10.3874	11.2732	10.1843	9.2311	9.7523	8.4938
WDHD1	na	6.8868	9.427	7.6537	6.6403	4.9186	5.3043
GCH1	na	8.4155	7.8168	8.2337	9.0469	9.5023	9.516
CDKN3	na	22.5849	24.2709	24.8309	22.1173	20.9078	21.75
DDHD1	na	2.6895	3.1227	2.8658	2.9661	3.0971	2.8605
